Episode 0: Reward=-115.37, route=[0, 1, 2, 4, 3] 
Episode 1: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 2: Reward=-124.43, route=[0, 1, 4, 2, 3] 
Episode 3: Reward=-93.02, route=[0, 2, 4, 3, 1] 
Episode 4: Reward=-109.42, route=[0, 1, 3, 2, 4] 
Episode 5: Reward=-107.35, route=[0, 2, 4, 1, 3] 
Episode 6: Reward=-130.12, route=[0, 2, 1, 4, 3] 
Episode 7: Reward=-109.42, route=[0, 1, 3, 2, 4] 
Episode 8: Reward=-114.7, route=[0, 3, 1, 2, 4] 
Episode 9: Reward=-107.35, route=[0, 3, 1, 4, 2] 
Episode 10: Reward=-146.53, route=[0, 3, 2, 1, 4] 
Episode 11: Reward=-109.42, route=[0, 1, 3, 2, 4] 
Episode 12: Reward=-124.17, route=[0, 2, 3, 1, 4] 
Episode 13: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 14: Reward=-115.12, route=[0, 2, 1, 3, 4] 
Episode 15: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 16: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 17: Reward=-130.12, route=[0, 3, 4, 1, 2] 
Episode 18: Reward=-107.35, route=[0, 3, 1, 4, 2] 
Episode 19: Reward=-146.53, route=[0, 3, 2, 1, 4] 
Episode 20: Reward=-109.42, route=[0, 1, 3, 2, 4] 
Episode 21: Reward=-115.12, route=[0, 4, 3, 1, 2] 
Episode 22: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 23: Reward=-130.12, route=[0, 2, 1, 4, 3] 
Episode 24: Reward=-124.17, route=[0, 2, 3, 1, 4] 
Episode 25: Reward=-107.35, route=[0, 3, 1, 4, 2] 
Episode 26: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 27: Reward=-115.37, route=[0, 3, 4, 2, 1] 
Episode 28: Reward=-132.2, route=[0, 1, 2, 3, 4] 
Episode 29: Reward=-115.37, route=[0, 3, 4, 2, 1] 
Episode 30: Reward=-146.53, route=[0, 3, 2, 1, 4] 
Episode 31: Reward=-132.2, route=[0, 1, 2, 3, 4] 
